
1 12
  0 1 2 3
  8 5 9 11
  9 5 8 11
 10 6 7 11
 11 8 9 10

16 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 7 10
  7 4 6 11
  8 5 9 10
  9 5 8 11
 10 6 8 11
 11 7 9 10

17 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 7 10
  7 4 6 11
  8 5 10 11
  9 5 10 11
 10 6 8 9
 11 7 8 9

18 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 9
  7 4 10 11
  8 5 6 10
  9 5 6 11
 10 7 8 11
 11 7 9 10

19 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 10
  7 4 9 10
  8 5 6 11
  9 5 7 11
 10 6 7 11
 11 8 9 10

20 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 10
  7 4 9 11
  8 5 6 10
  9 5 7 11
 10 6 8 11
 11 7 9 10

21 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 10
  7 4 9 11
  8 5 6 11
  9 5 7 10
 10 6 9 11
 11 7 8 10

22 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 10
  7 4 10 11
  8 5 6 11
  9 5 10 11
 10 6 7 9
 11 7 8 9

23 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 5
  4 1 3 6
  5 2 3 7
  6 4 8 9
  7 5 8 10
  8 6 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

24 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 5
  4 1 3 6
  5 2 3 7
  6 4 8 9
  7 5 10 11
  8 6 9 10
  9 6 8 11
 10 7 8 11
 11 7 9 10

25 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 5
  4 1 3 6
  5 2 3 7
  6 4 8 9
  7 5 10 11
  8 6 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

26 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 6
  5 2 7 8
  6 3 4 9
  7 5 8 10
  8 5 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

27 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 6
  5 2 7 8
  6 3 4 9
  7 5 10 11
  8 5 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

28 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 6 8
  6 3 5 9
  7 4 8 10
  8 5 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

29 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 6 8
  6 3 5 9
  7 4 9 10
  8 5 10 11
  9 6 7 11
 10 7 8 11
 11 8 9 10

30 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 6 8
  6 3 5 9
  7 4 10 11
  8 5 9 10
  9 6 8 11
 10 7 8 11
 11 7 9 10

31 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 6 8
  6 3 5 9
  7 4 10 11
  8 5 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

32 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 7 10
  7 4 6 11
  8 5 9 10
  9 5 8 11
 10 6 8 11
 11 7 9 10

33 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 7 10
  7 4 6 11
  8 5 10 11
  9 5 10 11
 10 6 8 9
 11 7 8 9

34 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 9
  7 4 10 11
  8 5 6 10
  9 5 6 11
 10 7 8 11
 11 7 9 10

35 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 8 11
  8 5 6 7
  9 5 10 11
 10 6 9 11
 11 7 9 10

36 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 9 10
  8 5 6 11
  9 5 7 11
 10 6 7 11
 11 8 9 10

37 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 9 11
  8 5 6 10
  9 5 7 11
 10 6 8 11
 11 7 9 10

38 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 9 11
  8 5 6 11
  9 5 7 10
 10 6 9 11
 11 7 8 10

39 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 10 11
  8 5 6 9
  9 5 8 11
 10 6 7 11
 11 7 9 10

40 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 10
  7 4 10 11
  8 5 6 11
  9 5 10 11
 10 6 7 9
 11 7 8 9

41 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 10 11
  7 4 10 11
  8 5 9 10
  9 5 8 11
 10 6 7 8
 11 6 7 9

42 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 7
  5 2 8 9
  6 3 4 10
  7 3 4 11
  8 5 10 11
  9 5 10 11
 10 6 8 9
 11 7 8 9

43 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 6 9
  6 3 4 5
  7 3 10 11
  8 4 10 11
  9 5 10 11
 10 7 8 9
 11 7 8 9

44 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 8
  6 3 4 9
  7 3 5 10
  8 4 5 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

45 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 9
  7 3 5 10
  8 4 10 11
  9 5 6 11
 10 7 8 11
 11 8 9 10

46 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 10
  7 3 5 10
  8 4 9 11
  9 5 8 11
 10 6 7 11
 11 8 9 10

47 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 10
  7 3 5 11
  8 4 9 10
  9 5 8 11
 10 6 8 11
 11 7 9 10

48 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 10
  7 3 5 11
  8 4 9 11
  9 5 8 10
 10 6 9 11
 11 7 8 10

49 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 10
  7 3 5 11
  8 4 10 11
  9 5 10 11
 10 6 8 9
 11 7 8 9

50 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 7
  7 3 6 11
  8 4 9 10
  9 5 8 11
 10 5 8 11
 11 7 9 10

51 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 9
  7 3 8 10
  8 4 7 11
  9 5 6 11
 10 5 7 11
 11 8 9 10

52 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 9
  7 3 8 11
  8 4 7 11
  9 5 6 10
 10 5 9 11
 11 7 8 10

53 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 9
  7 3 9 11
  8 4 10 11
  9 5 6 7
 10 5 8 11
 11 7 8 10

54 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 9
  7 3 10 11
  8 4 10 11
  9 5 6 11
 10 5 7 8
 11 7 8 9

55 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 11
  7 3 8 9
  8 4 7 10
  9 5 7 11
 10 5 8 11
 11 6 9 10

56 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 11
  7 3 8 9
  8 4 7 11
  9 5 7 10
 10 5 9 11
 11 6 8 10

57 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 11
  7 3 9 10
  8 4 9 11
  9 5 7 8
 10 5 7 11
 11 6 8 10

58 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 9 10
  6 3 4 11
  7 3 9 11
  8 4 10 11
  9 5 7 10
 10 5 8 9
 11 6 7 8

59 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 8 9
  5 2 10 11
  6 3 7 8
  7 3 6 10
  8 4 6 9
  9 4 8 11
 10 5 7 11
 11 5 9 10

60 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 8 9
  5 2 10 11
  6 3 7 8
  7 3 6 10
  8 4 6 11
  9 4 10 11
 10 5 7 9
 11 5 8 9

61 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 8 9
  5 2 10 11
  6 3 8 9
  7 3 10 11
  8 4 6 10
  9 4 6 11
 10 5 7 8
 11 5 7 9

62 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 8 9
  5 2 10 11
  6 3 8 10
  7 3 9 11
  8 4 6 10
  9 4 7 11
 10 5 6 8
 11 5 7 9

63 12
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 8 9
  5 2 10 11
  6 3 8 10
  7 3 9 11
  8 4 6 11
  9 4 7 10
 10 5 6 9
 11 5 7 8

64 12
  0 1 2 3
  1 0 4 5
  2 0 4 5
  3 0 4 6
  4 1 2 3
  5 1 2 7
  6 3 8 9
  7 5 10 11
  8 6 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

65 12
  0 1 2 3
  1 0 4 5
  2 0 4 5
  3 0 6 7
  4 1 2 6
  5 1 2 8
  6 3 4 9
  7 3 10 11
  8 5 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

66 12
  0 1 2 3
  1 0 4 5
  2 0 4 5
  3 0 6 7
  4 1 2 8
  5 1 2 9
  6 3 8 10
  7 3 9 10
  8 4 6 11
  9 5 7 11
 10 6 7 11
 11 8 9 10

67 12
  0 1 2 3
  1 0 4 5
  2 0 4 5
  3 0 6 7
  4 1 2 8
  5 1 2 9
  6 3 8 10
  7 3 9 11
  8 4 6 11
  9 5 7 10
 10 6 9 11
 11 7 8 10

68 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 7 10
  7 3 6 11
  8 4 9 10
  9 5 8 11
 10 6 8 11
 11 7 9 10

69 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 7 10
  7 3 6 11
  8 4 9 11
  9 5 8 10
 10 6 9 11
 11 7 8 10

70 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 7 10
  7 3 6 11
  8 4 10 11
  9 5 10 11
 10 6 8 9
 11 7 8 9

71 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 8 10
  7 3 9 10
  8 4 6 11
  9 5 7 11
 10 6 7 11
 11 8 9 10

72 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 8 10
  7 3 9 11
  8 4 6 11
  9 5 7 10
 10 6 9 11
 11 7 8 10

73 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 8 10
  7 3 10 11
  8 4 6 11
  9 5 10 11
 10 6 7 9
 11 7 8 9

74 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 9 10
  7 3 8 10
  8 4 7 11
  9 5 6 11
 10 6 7 11
 11 8 9 10

75 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 9 10
  7 3 10 11
  8 4 10 11
  9 5 6 11
 10 6 7 8
 11 7 8 9

76 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 7
  5 1 6 9
  6 2 5 10
  7 3 4 11
  8 3 9 10
  9 5 8 11
 10 6 8 11
 11 7 9 10

77 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 7
  5 1 8 9
  6 2 9 10
  7 3 4 11
  8 3 5 10
  9 5 6 11
 10 6 8 11
 11 7 9 10

78 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 7
  5 1 9 10
  6 2 9 10
  7 3 4 11
  8 3 9 11
  9 5 6 8
 10 5 6 11
 11 7 8 10

79 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 9
  5 1 7 10
  6 2 7 11
  7 3 5 6
  8 3 9 10
  9 4 8 11
 10 5 8 11
 11 6 9 10

80 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 9
  5 1 7 10
  6 2 7 11
  7 3 5 6
  8 3 10 11
  9 4 10 11
 10 5 8 9
 11 6 8 9

81 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 9
  5 1 7 10
  6 2 8 11
  7 3 5 11
  8 3 6 10
  9 4 10 11
 10 5 8 9
 11 6 7 9

82 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 9
  5 1 7 10
  6 2 10 11
  7 3 5 11
  8 3 9 10
  9 4 8 11
 10 5 6 8
 11 6 7 9

83 12
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 9
  5 1 10 11
  6 2 10 11
  7 3 9 10
  8 3 9 11
  9 4 7 8
 10 5 6 7
 11 5 6 8

84 12
  0 1 2 3
  1 0 4 5
  2 0 6 7
  3 0 8 9
  4 1 6 8
  5 1 7 9
  6 2 4 10
  7 2 5 11
  8 3 4 11
  9 3 5 10
 10 6 9 11
 11 7 8 10

85 12
  0 1 2 3
  1 0 4 5
  2 0 6 7
  3 0 8 9
  4 1 6 8
  5 1 7 10
  6 2 4 11
  7 2 5 9
  8 3 4 10
  9 3 7 11
 10 5 8 11
 11 6 9 10
